ct_health,t_health,ct_money,t_money,time_left,bomb_planted,ct_players_alive,t_players_alive,round_winner_numeric
391.0,400.0,750.0,500.0,96.03,0,4.0,4.0,1
391.0,400.0,750.0,500.0,76.03,0,4.0,4.0,1
295.0,111.0,1700.0,5000.0,94.97,0,3.0,2.0,1
295.0,111.0,1700.0,5000.0,74.97,0,3.0,2.0,1
249.0,89.0,2300.0,2950.0,54.97,0,3.0,1.0,1
300.0,200.0,1200.0,50.0,74.97,0,3.0,2.0,0
116.0,126.0,1050.0,350.0,54.97,0,2.0,2.0,0
100.0,105.0,300.0,650.0,34.97,0,1.0,2.0,0
431.0,428.0,850.0,3150.0,94.97,0,5.0,5.0,1
404.0,328.0,1150.0,3050.0,74.97,0,5.0,4.0,1
391.0,211.0,1150.0,3050.0,54.97,0,5.0,4.0,1
379.0,99.0,2050.0,100.0,29.27,1,5.0,1.0,1
300.0,339.0,6850.0,2550.0,94.97,0,3.0,4.0,0
200.0,339.0,4450.0,2850.0,74.97,0,2.0,4.0,0
100.0,149.0,1050.0,950.0,54.97,0,1.0,2.0,0
100.0,149.0,1050.0,1250.0,22.7,1,1.0,2.0,0
300.0,414.0,250.0,6000.0,92.1,0,3.0,5.0,0
300.0,414.0,250.0,6000.0,72.1,0,3.0,5.0,0
300.0,414.0,250.0,6300.0,37.38,1,3.0,5.0,0
300.0,414.0,250.0,6300.0,17.38,1,3.0,5.0,0
399.0,465.0,7750.0,20000.0,94.97,0,4.0,5.0,1
163.0,149.0,3750.0,8650.0,74.97,0,2.0,2.0,1
67.0,0.0,2150.0,0.0,24.84,1,1.0,0.0,1
400.0,476.0,350.0,5550.0,94.97,0,4.0,5.0,0
300.0,286.0,300.0,4950.0,74.97,0,3.0,4.0,0
200.0,210.0,300.0,3050.0,27.35,1,2.0,3.0,0
100.0,210.0,250.0,3350.0,7.35,1,1.0,3.0,0
500.0,490.0,500.0,10500.0,94.96,0,5.0,5.0,1
400.0,390.0,450.0,9150.0,74.96,0,4.0,4.0,1
298.0,192.0,750.0,4600.0,54.96,0,3.0,2.0,1
307.0,70.0,3250.0,2450.0,88.7,0,4.0,1.0,1
473.0,500.0,12250.0,1150.0,94.97,0,5.0,5.0,1
454.0,460.0,12250.0,1150.0,74.97,0,5.0,5.0,1
454.0,460.0,12250.0,1150.0,54.97,0,5.0,5.0,1
371.0,360.0,10950.0,1600.0,35.3,1,4.0,4.0,1
338.0,260.0,11050.0,1250.0,15.3,1,4.0,3.0,1
476.0,300.0,26900.0,400.0,94.97,0,5.0,3.0,1
376.0,200.0,21300.0,250.0,74.97,0,4.0,2.0,1
500.0,464.0,34550.0,9800.0,94.97,0,5.0,5.0,1
500.0,464.0,34550.0,9800.0,74.97,0,5.0,5.0,1
432.0,200.0,35250.0,3300.0,54.97,0,5.0,2.0,1
389.0,400.0,30850.0,750.0,94.96,0,4.0,4.0,1
109.0,200.0,20050.0,1050.0,74.96,0,2.0,2.0,1
320.0,461.0,600.0,350.0,96.38,0,5.0,5.0,0
116.0,366.0,300.0,1250.0,76.38,0,2.0,5.0,0
300.0,400.0,1900.0,900.0,94.96,0,3.0,4.0,0
184.0,280.0,1500.0,1150.0,74.96,0,2.0,3.0,0
80.0,180.0,1750.0,1150.0,33.08,1,1.0,2.0,0
497.0,500.0,300.0,17100.0,94.97,0,5.0,5.0,0
200.0,300.0,150.0,15350.0,74.97,0,2.0,4.0,0
100.0,300.0,0.0,15650.0,54.97,0,1.0,4.0,0
28.0,147.0,600.0,6850.0,24.94,1,1.0,2.0,0
28.0,147.0,600.0,6850.0,4.94,1,1.0,2.0,0
483.0,400.0,1500.0,15400.0,94.96,0,5.0,4.0,0
283.0,204.0,250.0,11800.0,74.96,0,3.0,3.0,0
183.0,204.0,150.0,12100.0,54.96,0,2.0,3.0,0
100.0,100.0,50.0,2400.0,34.96,0,1.0,1.0,0
100.0,40.0,50.0,2400.0,14.96,0,1.0,1.0,0
180.0,146.0,250.0,700.0,89.95,0,2.0,2.0,0
400.0,394.0,1400.0,500.0,89.96,0,4.0,4.0,0
200.0,305.0,50.0,1400.0,35.98,1,2.0,4.0,0
200.0,305.0,50.0,1400.0,15.98,1,2.0,4.0,0
201.0,500.0,7600.0,13800.0,89.96,0,3.0,5.0,0
500.0,499.0,300.0,21300.0,89.96,0,5.0,5.0,1
500.0,499.0,300.0,21300.0,69.96,0,5.0,5.0,1
500.0,399.0,400.0,18700.0,49.96,0,5.0,4.0,1
500.0,200.0,800.0,7400.0,29.96,0,5.0,2.0,1
400.0,110.0,800.0,7700.0,9.96,0,4.0,2.0,1
400.0,407.0,7550.0,7250.0,89.96,0,4.0,5.0,1
300.0,348.0,7000.0,6300.0,30.83,1,3.0,4.0,1
300.0,100.0,7900.0,2350.0,10.83,1,3.0,1.0,1
300.0,186.0,4600.0,700.0,29.96,0,3.0,3.0,1
200.0,93.0,4500.0,350.0,9.96,0,2.0,1.0,1
500.0,452.0,8900.0,7700.0,69.96,0,5.0,5.0,1
395.0,412.0,14050.0,600.0,89.96,0,4.0,5.0,0
395.0,412.0,14050.0,600.0,69.96,0,4.0,5.0,0
200.0,290.0,5650.0,1150.0,49.96,0,2.0,4.0,0
200.0,290.0,5650.0,1450.0,27.16,1,2.0,4.0,0
100.0,290.0,3400.0,1750.0,7.16,1,1.0,4.0,0
471.0,200.0,2900.0,2800.0,49.96,0,5.0,2.0,1
371.0,200.0,2550.0,3100.0,29.96,0,4.0,2.0,1
171.0,100.0,850.0,3700.0,33.49,1,2.0,1.0,1
112.0,0.0,1150.0,0.0,13.49,1,2.0,0.0,1
500.0,447.0,3150.0,3650.0,72.62,0,5.0,5.0,1
282.0,200.0,1950.0,1200.0,52.62,0,4.0,2.0,1
103.0,76.0,800.0,1250.0,32.62,0,2.0,1.0,1
100.0,76.0,50.0,1850.0,30.66,1,1.0,1.0,1
13.0,0.0,350.0,0.0,10.66,1,1.0,0.0,1
500.0,400.0,2000.0,550.0,89.95,0,5.0,4.0,1
400.0,263.0,450.0,650.0,69.95,0,4.0,3.0,1
478.0,268.0,9200.0,6600.0,89.96,0,5.0,3.0,0
207.0,212.0,6500.0,7300.0,31.16,1,3.0,3.0,0
400.0,500.0,12550.0,13650.0,26.62,1,4.0,5.0,0
100.0,427.0,1800.0,14550.0,6.62,1,1.0,5.0,0
344.0,156.0,1200.0,6300.0,89.96,0,4.0,2.0,1
300.0,156.0,1000.0,6600.0,69.96,0,3.0,2.0,1
200.0,100.0,300.0,3800.0,49.96,0,2.0,1.0,1
500.0,400.0,950.0,7750.0,89.95,0,5.0,4.0,0
500.0,400.0,950.0,7750.0,69.95,0,5.0,4.0,0
200.0,262.0,700.0,8350.0,35.15,1,2.0,3.0,0
279.0,371.0,700.0,600.0,90.98,0,3.0,4.0,1
189.0,106.0,850.0,600.0,28.52,1,2.0,2.0,1
189.0,0.0,1450.0,0.0,8.52,1,2.0,0.0,1
400.0,481.0,250.0,350.0,89.95,0,4.0,5.0,0
322.0,381.0,550.0,350.0,69.95,0,4.0,4.0,0
300.0,281.0,300.0,650.0,49.95,0,3.0,3.0,0
100.0,200.0,150.0,650.0,29.95,0,1.0,2.0,0
473.0,500.0,100.0,1700.0,89.95,0,5.0,5.0,0
452.0,493.0,100.0,1700.0,69.95,0,5.0,5.0,0
163.0,193.0,950.0,1050.0,27.77,1,3.0,2.0,0
