Filename,Name,Type1
1.png,bulbasaur,grass
10.png,caterpie,bug
100.png,voltorb,electric
101.png,electrode,electric
102.png,exeggcute,grass
103.png,exeggutor,grass
104.png,cubone,ground
105.png,marowak,ground
106.png,hitmonlee,fighting
107.png,hitmonchan,fighting
108.png,lickitung,normal
109.png,koffing,poison
11.png,metapod,bug
110.png,weezing,poison
111.png,rhyhorn,ground
112.png,rhydon,ground
113.png,chansey,normal
114.png,tangela,grass
115-mega.png,kangaskhan-mega,normal
115.png,kangaskhan,normal
116.png,horsea,water
117.png,seadra,water
118.png,goldeen,water
119.png,seaking,water
12.png,butterfree,bug
120.png,staryu,water
121.png,starmie,water
122.png,mr-mime,psychic
123.png,scyther,bug
124.png,jynx,ice
125.png,electabuzz,electric
126.png,magmar,fire
127-mega.png,pinsir-mega,bug
127.png,pinsir,bug
128.png,tauros,normal
129.png,magikarp,water
13.png,weedle,bug
130-mega.png,gyarados-mega,water
130.png,gyarados,water
131.png,lapras,water
132.png,ditto,normal
133.png,eevee,normal
134.png,vaporeon,water
135.png,jolteon,electric
136.png,flareon,fire
137.png,porygon,normal
138.png,omanyte,rock
139.png,omastar,rock
14.png,kakuna,bug
140.png,kabuto,rock
141.png,kabutops,rock
142-mega.png,aerodactyl-mega,rock
142.png,aerodactyl,rock
143.png,snorlax,normal
144.png,articuno,ice
145.png,zapdos,electric
146.png,moltres,fire
147.png,dratini,dragon
148.png,dragonair,dragon
149.png,dragonite,dragon
15-mega.png,beedrill-mega,bug
15.png,beedrill,bug
150-mega-x.png,mewtwo-mega-x,psychic
150-mega-y.png,mewtwo-mega-y,psychic
150.png,mewtwo,psychic
151.png,mew,psychic
152.png,chikorita,grass
153.png,bayleef,grass
154.png,meganium,grass
155.png,cyndaquil,fire
156.png,quilava,fire
157.png,typhlosion,fire
158.png,totodile,water
159.png,croconaw,water
16.png,pidgey,normal
160.png,feraligatr,water
161.png,sentret,normal
162.png,furret,normal
163.png,hoothoot,normal
164.png,noctowl,normal
165.png,ledyba,bug
166.png,ledian,bug
167.png,spinarak,bug
168.png,ariados,bug
169.png,crobat,poison
17.png,pidgeotto,normal
170.png,chinchou,water
171.png,lanturn,water
172.png,pichu,electric
173.png,cleffa,fairy
174.png,igglybuff,normal
175.png,togepi,fairy
176.png,togetic,fairy
177.png,natu,psychic
178.png,xatu,psychic
179.png,mareep,electric
18-mega.png,pidgeot-mega,normal
18.png,pidgeot,normal
180.png,flaaffy,electric
181-mega.png,ampharos-mega,electric
181.png,ampharos,electric
182.png,bellossom,grass
183.png,marill,water
184.png,azumarill,water
185.png,sudowoodo,rock
186.png,politoed,water
187.png,hoppip,grass
188.png,skiploom,grass
189.png,jumpluff,grass
19.png,rattata,normal
190.png,aipom,normal
191.png,sunkern,grass
192.png,sunflora,grass
193.png,yanma,bug
194.png,wooper,water
195.png,quagsire,water
196.png,espeon,psychic
197.png,umbreon,dark
198.png,murkrow,dark
199.png,slowking,water
2.png,ivysaur,grass
20.png,raticate,normal
200.png,misdreavus,ghost
202.png,wobbuffet,psychic
203.png,girafarig,normal
204.png,pineco,bug
205.png,forretress,bug
206.png,dunsparce,normal
207.png,gligar,ground
208-mega.png,steelix-mega,steel
208.png,steelix,steel
209.png,snubbull,fairy
21.png,spearow,normal
210.png,granbull,fairy
211.png,qwilfish,water
212-mega.png,scizor-mega,bug
212.png,scizor,bug
213.png,shuckle,bug
214-mega.png,heracross-mega,bug
214.png,heracross,bug
215.png,sneasel,dark
216.png,teddiursa,normal
217.png,ursaring,normal
218.png,slugma,fire
219.png,magcargo,fire
22.png,fearow,normal
220.png,swinub,ice
221.png,piloswine,ice
222.png,corsola,water
223.png,remoraid,water
224.png,octillery,water
225.png,delibird,ice
226.png,mantine,water
227.png,skarmory,steel
228.png,houndour,dark
229-mega.png,houndoom-mega,dark
229.png,houndoom,dark
23.png,ekans,poison
230.png,kingdra,water
231.png,phanpy,ground
232.png,donphan,ground
233.png,porygon2,normal
234.png,stantler,normal
235.png,smeargle,normal
236.png,tyrogue,fighting
237.png,hitmontop,fighting
238.png,smoochum,ice
239.png,elekid,electric
24.png,arbok,poison
240.png,magby,fire
241.png,miltank,normal
242.png,blissey,normal
243.png,raikou,electric
244.png,entei,fire
245.png,suicune,water
246.png,larvitar,rock
247.png,pupitar,rock
248-mega.png,tyranitar-mega,rock
248.png,tyranitar,rock
249.png,lugia,psychic
25-belle.png,pikachu-belle,electric
25-libre.png,pikachu-libre,electric
25-phd.png,pikachu-phd,electric
25-pop-star.png,pikachu-pop-star,electric
25-rock-star.png,pikachu-rock-star,electric
25.png,pikachu,electric
250.png,ho-oh,fire
251.png,celebi,psychic
252.png,treecko,grass
253.png,grovyle,grass
254-mega.png,sceptile-mega,grass
254.png,sceptile,grass
255.png,torchic,fire
256.png,combusken,fire
257-mega.png,blaziken-mega,fire
257.png,blaziken,fire
258.png,mudkip,water
259.png,marshtomp,water
26.png,raichu,electric
260-mega.png,swampert-mega,water
260.png,swampert,water
261.png,poochyena,dark
262.png,mightyena,dark
263.png,zigzagoon,normal
264.png,linoone,normal
265.png,wurmple,bug
266.png,silcoon,bug
267.png,beautifly,bug
268.png,cascoon,bug
269.png,dustox,bug
27.png,sandshrew,ground
270.png,lotad,water
271.png,lombre,water
272.png,ludicolo,water
273.png,seedot,grass
274.png,nuzleaf,grass
275.png,shiftry,grass
276.png,taillow,normal
277.png,swellow,normal
278.png,wingull,water
279.png,pelipper,water
28.png,sandslash,ground
280.png,ralts,psychic
281.png,kirlia,psychic
282-mega.png,gardevoir-mega,psychic
282.png,gardevoir,psychic
283.png,surskit,bug
284.png,masquerain,bug
285.png,shroomish,grass
286.png,breloom,grass
287.png,slakoth,normal
288.png,vigoroth,normal
289.png,slaking,normal
29.png,nidoran-f,poison
290.png,nincada,bug
291.png,ninjask,bug
292.png,shedinja,bug
293.png,whismur,normal
294.png,loudred,normal
295.png,exploud,normal
296.png,makuhita,fighting
297.png,hariyama,fighting
298.png,azurill,normal
299.png,nosepass,rock
3-mega.png,venusaur-mega,grass
3.png,venusaur,grass
30.png,nidorina,poison
300.png,skitty,normal
301.png,delcatty,normal
302-mega.png,sableye-mega,dark
302.png,sableye,dark
303-mega.png,mawile-mega,steel
303.png,mawile,steel
304.png,aron,steel
305.png,lairon,steel
306-mega.png,aggron-mega,steel
306.png,aggron,steel
307.png,meditite,fighting
308-mega.png,medicham-mega,fighting
308.png,medicham,fighting
309.png,electrike,electric
31.png,nidoqueen,poison
310-mega.png,manectric-mega,electric
310.png,manectric,electric
311.png,plusle,electric
312.png,minun,electric
313.png,volbeat,bug
314.png,illumise,bug
315.png,roselia,grass
316.png,gulpin,poison
317.png,swalot,poison
318.png,carvanha,water
319-mega.png,sharpedo-mega,water
319.png,sharpedo,water
32.png,nidoran-m,poison
320.png,wailmer,water
321.png,wailord,water
322.png,numel,fire
323-mega.png,camerupt-mega,fire
323.png,camerupt,fire
324.png,torkoal,fire
325.png,spoink,psychic
326.png,grumpig,psychic
327.png,spinda,normal
328.png,trapinch,ground
329.png,vibrava,ground
33.png,nidorino,poison
330.png,flygon,ground
331.png,cacnea,grass
332.png,cacturne,grass
333.png,swablu,normal
334-mega.png,altaria-mega,dragon
334.png,altaria,dragon
335.png,zangoose,normal
336.png,seviper,poison
337.png,lunatone,rock
338.png,solrock,rock
339.png,barboach,water
34.png,nidoking,poison
340.png,whiscash,water
341.png,corphish,water
342.png,crawdaunt,water
343.png,baltoy,ground
344.png,claydol,ground
345.png,lileep,rock
346.png,cradily,rock
347.png,anorith,rock
348.png,armaldo,rock
349.png,feebas,water
35.png,clefairy,fairy
350.png,milotic,water
351.png,castform,normal
352.png,kecleon,normal
353.png,shuppet,ghost
354-mega.png,banette-mega,ghost
354.png,banette,ghost
355.png,duskull,ghost
356.png,dusclops,ghost
357.png,tropius,grass
358.png,chimecho,psychic
359-mega.png,absol-mega,dark
359.png,absol,dark
36.png,clefable,fairy
360.png,wynaut,psychic
361.png,snorunt,ice
362-mega.png,glalie-mega,ice
362.png,glalie,ice
363.png,spheal,ice
364.png,sealeo,ice
365.png,walrein,ice
366.png,clamperl,water
367.png,huntail,water
368.png,gorebyss,water
369.png,relicanth,water
37.png,vulpix,fire
370.png,luvdisc,water
371.png,bagon,dragon
372.png,shelgon,dragon
373-mega.png,salamence-mega,dragon
373.png,salamence,dragon
374.png,beldum,steel
375.png,metang,steel
376-mega.png,metagross-mega,steel
376.png,metagross,steel
377.png,regirock,rock
378.png,regice,ice
379.png,registeel,steel
38.png,ninetales,fire
380-mega.png,latias-mega,dragon
380.png,latias,dragon
381-mega.png,latios-mega,dragon
381.png,latios,dragon
382-primal.png,kyogre-primal,water
382.png,kyogre,water
383-primal.png,groudon-primal,ground
383.png,groudon,ground
384-mega.png,rayquaza-mega,dragon
384.png,rayquaza,dragon
385.png,jirachi,steel
387.png,turtwig,grass
388.png,grotle,grass
389.png,torterra,grass
39.png,jigglypuff,normal
390.png,chimchar,fire
391.png,monferno,fire
392.png,infernape,fire
393.png,piplup,water
394.png,prinplup,water
395.png,empoleon,water
396.png,starly,normal
397.png,staravia,normal
398.png,staraptor,normal
399.png,bidoof,normal
4.png,charmander,fire
40.png,wigglytuff,normal
400.png,bibarel,normal
401.png,kricketot,bug
402.png,kricketune,bug
403.png,shinx,electric
404.png,luxio,electric
405.png,luxray,electric
406.png,budew,grass
407.png,roserade,grass
408.png,cranidos,rock
409.png,rampardos,rock
41.png,zubat,poison
410.png,shieldon,rock
411.png,bastiodon,rock
414.png,mothim,bug
415.png,combee,bug
416.png,vespiquen,bug
417.png,pachirisu,electric
418.png,buizel,water
419.png,floatzel,water
42.png,golbat,poison
420.png,cherubi,grass
424.png,ambipom,normal
425.png,drifloon,ghost
426.png,drifblim,ghost
427.png,buneary,normal
428-mega.png,lopunny-mega,normal
428.png,lopunny,normal
429.png,mismagius,ghost
43.png,oddish,grass
430.png,honchkrow,dark
431.png,glameow,normal
432.png,purugly,normal
433.png,chingling,psychic
434.png,stunky,poison
435.png,skuntank,poison
436.png,bronzor,steel
437.png,bronzong,steel
438.png,bonsly,rock
439.png,mime-jr,psychic
44.png,gloom,grass
440.png,happiny,normal
441.png,chatot,normal
442.png,spiritomb,ghost
443.png,gible,dragon
444.png,gabite,dragon
445-mega.png,garchomp-mega,dragon
445.png,garchomp,dragon
446.png,munchlax,normal
447.png,riolu,fighting
448-mega.png,lucario-mega,fighting
448.png,lucario,fighting
449.png,hippopotas,ground
45.png,vileplume,grass
450.png,hippowdon,ground
451.png,skorupi,poison
452.png,drapion,poison
453.png,croagunk,poison
454.png,toxicroak,poison
455.png,carnivine,grass
456.png,finneon,water
457.png,lumineon,water
458.png,mantyke,water
459.png,snover,grass
46.png,paras,bug
460-mega.png,abomasnow-mega,grass
460.png,abomasnow,grass
461.png,weavile,dark
462.png,magnezone,electric
463.png,lickilicky,normal
464.png,rhyperior,ground
465.png,tangrowth,grass
466.png,electivire,electric
467.png,magmortar,fire
468.png,togekiss,fairy
469.png,yanmega,bug
47.png,parasect,bug
470.png,leafeon,grass
471.png,glaceon,ice
472.png,gliscor,ground
473.png,mamoswine,ice
474.png,porygon-z,normal
475-mega.png,gallade-mega,psychic
475.png,gallade,psychic
476.png,probopass,rock
477.png,dusknoir,ghost
478.png,froslass,ice
