Month_Year,Avg_players,Gain,Percent_Gain,Date
September 2021,46968.35,-3785.16,-7.46%,2021-09-01
August 2021,50753.51,-861.27,-1.67%,2021-08-01
July 2021,51614.78,11992.53,+30.27%,2021-07-01
June 2021,39622.26,-7061.59,-15.13%,2021-06-01
May 2021,46683.85,267.46,+0.58%,2021-05-01
April 2021,46416.38,3464.79,+8.07%,2021-04-01
March 2021,42951.59,3741.63,+9.54%,2021-03-01
February 2021,39209.96,3085.81,+8.54%,2021-02-01
January 2021,36124.14,134.09,+0.37%,2021-01-01
December 2020,35990.05,-3923.97,-9.83%,2020-12-01
November 2020,39914.02,-1384.76,-3.35%,2020-11-01
October 2020,41298.79,-15032.09,-26.69%,2020-10-01
September 2020,56330.88,-3298.15,-5.53%,2020-09-01
August 2020,59629.02,20243.88,+51.40%,2020-08-01
July 2020,39385.15,-5445.2,-12.15%,2020-07-01
June 2020,44830.35,-4856.71,-9.77%,2020-06-01
May 2020,49687.06,-6631.71,-11.78%,2020-05-01
April 2020,56318.77,3491.4,+6.61%,2020-04-01
March 2020,52827.37,11892.49,+29.05%,2020-03-01
February 2020,40934.88,4670.8,+12.88%,2020-02-01
January 2020,36264.08,-10878.94,-23.08%,2020-01-01
December 2019,47143.02,1050.29,+2.28%,2019-12-01
November 2019,46092.73,11693.86,+33.99%,2019-11-01
October 2019,34398.86,-8083.36,-19.03%,2019-10-01
September 2019,42482.22,-10713.34,-20.14%,2019-09-01
August 2019,53195.56,-2706.68,-4.84%,2019-08-01
July 2019,55902.24,13228.98,+31.00%,2019-07-01
June 2019,42673.26,-7907.43,-15.63%,2019-06-01
May 2019,50580.69,-5993.82,-10.59%,2019-05-01
April 2019,56574.51,-6225.98,-9.91%,2019-04-01
March 2019,62800.49,16576.23,+35.86%,2019-03-01
February 2019,46224.26,-6530.25,-12.38%,2019-02-01
January 2019,52754.51,-973.04,-1.81%,2019-01-01
December 2018,53727.55,-7758.99,-12.62%,2018-12-01
November 2018,61486.55,11768.29,+23.67%,2018-11-01
October 2018,49718.26,-2076.0,-4.01%,2018-10-01
September 2018,51794.26,-17097.44,-24.82%,2018-09-01
August 2018,68891.69,-7703.22,-10.06%,2018-08-01
July 2018,76594.91,19971.45,+35.27%,2018-07-01
June 2018,56623.46,13680.6,+31.86%,2018-06-01
May 2018,42942.86,-7399.31,-14.70%,2018-05-01
April 2018,50342.17,2251.24,+4.68%,2018-04-01
March 2018,48090.92,-944.53,-1.93%,2018-03-01
February 2018,49035.45,3857.89,+8.54%,2018-02-01
January 2018,45177.56,-6202.41,-12.07%,2018-01-01
December 2017,51379.97,-5120.47,-9.06%,2017-12-01
November 2017,56500.44,-5408.38,-8.74%,2017-11-01
October 2017,61908.82,24880.71,+67.19%,2017-10-01
September 2017,37028.11,-2939.28,-7.35%,2017-09-01
August 2017,39967.39,965.21,+2.47%,2017-08-01
July 2017,39002.18,13100.15,+50.58%,2017-07-01
June 2017,25902.03,-1879.21,-6.76%,2017-06-01
May 2017,27781.24,-2795.16,-9.14%,2017-05-01
April 2017,30576.4,-147.26,-0.48%,2017-04-01
