Avg_players,Gain,Percent_Gain
46968.35,-3785.16,-0.0746
50753.51,-861.27,-0.0167
51614.78,11992.53,0.30269999999999997
39622.26,-7061.59,-0.15130000000000002
46683.85,267.46,0.0058
46416.38,3464.79,0.08070000000000001
42951.59,3741.63,0.09539999999999998
39209.96,3085.81,0.08539999999999999
36124.14,134.09,0.0037
35990.05,-3923.97,-0.0983
39914.02,-1384.76,-0.0335
41298.79,-15032.09,-0.2669
56330.88,-3298.15,-0.0553
59629.02,20243.88,0.514
39385.15,-5445.2,-0.1215
44830.35,-4856.71,-0.0977
49687.06,-6631.71,-0.11779999999999999
56318.77,3491.4,0.0661
52827.37,11892.49,0.2905
40934.88,4670.8,0.1288
36264.08,-10878.94,-0.23079999999999998
47143.02,1050.29,0.022799999999999997
46092.73,11693.86,0.33990000000000004
34398.86,-8083.36,-0.19030000000000002
42482.22,-10713.34,-0.2014
53195.56,-2706.68,-0.0484
55902.24,13228.98,0.31
42673.26,-7907.43,-0.1563
50580.69,-5993.82,-0.1059
56574.51,-6225.98,-0.09910000000000001
62800.49,16576.23,0.3586
46224.26,-6530.25,-0.12380000000000001
52754.51,-973.04,-0.0181
53727.55,-7758.99,-0.12619999999999998
61486.55,11768.29,0.23670000000000002
49718.26,-2076.0,-0.0401
51794.26,-17097.44,-0.2482
68891.69,-7703.22,-0.10060000000000001
76594.91,19971.45,0.3527
56623.46,13680.6,0.3186
42942.86,-7399.31,-0.147
50342.17,2251.24,0.046799999999999994
48090.92,-944.53,-0.019299999999999998
49035.45,3857.89,0.08539999999999999
45177.56,-6202.41,-0.1207
51379.97,-5120.47,-0.0906
56500.44,-5408.38,-0.0874
61908.82,24880.71,0.6718999999999999
37028.11,-2939.28,-0.0735
39967.39,965.21,0.024700000000000003
39002.18,13100.15,0.5058
25902.03,-1879.21,-0.0676
27781.24,-2795.16,-0.09140000000000001
30576.4,-147.26,-0.0048
30723.66,2325.41,0.0819
28398.25,-3336.65,-0.1051
31734.9,-1943.55,-0.057699999999999994
33678.45,3861.26,0.1295
29817.19,8928.58,0.4274
20888.62,-1887.31,-0.08289999999999999
22775.92,-3772.49,-0.1421
26548.41,-1977.75,-0.0693
28526.17,2199.23,0.08349999999999999
26326.93,-271.05,-0.0102
26597.98,-547.56,-0.0202
27145.55,-6602.0,-0.1956
33747.55,1838.3,0.0576
31909.25,1199.69,0.0391
30709.56,-2544.25,-0.0765
33253.8,11920.4,0.5588000000000001
21333.4,-6380.24,-0.2302
27713.64,5645.86,0.25579999999999997
22067.78,-7092.23,-0.2432
29160.01,9223.72,0.46270000000000006
19936.29,1570.03,0.0855
18366.27,-2564.27,-0.1225
20930.54,-1167.12,-0.0528
22097.66,864.32,0.0407
21233.34,2854.61,0.1553
18378.74,459.19,0.0256
17919.54,-1456.78,-0.07519999999999999
19376.33,2479.55,0.1467
16896.78,1159.8,0.0737
15736.98,-66.18,-0.0042
15803.16,-662.9,-0.0403
16466.05,1243.7,0.0817
15222.36,3073.45,0.253
12148.9,539.89,0.04650000000000001
11609.02,-2763.5,-0.1923
14372.52,1993.52,0.161
12379.0,-1273.85,-0.0933
13652.84,1992.0,0.17079999999999998
11660.84,545.15,0.049
11115.69,1894.94,0.20550000000000002
9220.75,283.07,0.0317
8937.68,-778.95,-0.0802
9716.62,884.84,0.1002
8831.78,-773.81,-0.0806
9605.6,-1168.82,-0.1085
10774.41,435.88,0.042199999999999994
10338.53,-1991.12,-0.16149999999999998
12329.65,10369.52,5.2902
1960.13,1960.13,437761.79049999994
0.0,0.0,inf
0.0,,
