Month_Year,Date
September 2021,2021-09-01
August 2021,2021-08-01
July 2021,2021-07-01
June 2021,2021-06-01
May 2021,2021-05-01
April 2021,2021-04-01
March 2021,2021-03-01
February 2021,2021-02-01
January 2021,2021-01-01
December 2020,2020-12-01
November 2020,2020-11-01
October 2020,2020-10-01
September 2020,2020-09-01
August 2020,2020-08-01
July 2020,2020-07-01
June 2020,2020-06-01
May 2020,2020-05-01
April 2020,2020-04-01
March 2020,2020-03-01
February 2020,2020-02-01
January 2020,2020-01-01
December 2019,2019-12-01
November 2019,2019-11-01
October 2019,2019-10-01
September 2019,2019-09-01
August 2019,2019-08-01
July 2019,2019-07-01
June 2019,2019-06-01
May 2019,2019-05-01
April 2019,2019-04-01
March 2019,2019-03-01
February 2019,2019-02-01
January 2019,2019-01-01
December 2018,2018-12-01
November 2018,2018-11-01
October 2018,2018-10-01
September 2018,2018-09-01
August 2018,2018-08-01
July 2018,2018-07-01
June 2018,2018-06-01
May 2018,2018-05-01
April 2018,2018-04-01
March 2018,2018-03-01
February 2018,2018-02-01
January 2018,2018-01-01
December 2017,2017-12-01
November 2017,2017-11-01
October 2017,2017-10-01
September 2017,2017-09-01
August 2017,2017-08-01
July 2017,2017-07-01
June 2017,2017-06-01
May 2017,2017-05-01
April 2017,2017-04-01
March 2017,2017-03-01
February 2017,2017-02-01
January 2017,2017-01-01
December 2016,2016-12-01
November 2016,2016-11-01
October 2016,2016-10-01
September 2016,2016-09-01
August 2016,2016-08-01
July 2016,2016-07-01
June 2016,2016-06-01
May 2016,2016-05-01
April 2016,2016-04-01
March 2016,2016-03-01
February 2016,2016-02-01
January 2016,2016-01-01
December 2015,2015-12-01
November 2015,2015-11-01
October 2015,2015-10-01
September 2015,2015-09-01
August 2015,2015-08-01
July 2015,2015-07-01
June 2015,2015-06-01
May 2015,2015-05-01
April 2015,2015-04-01
March 2015,2015-03-01
February 2015,2015-02-01
January 2015,2015-01-01
December 2014,2014-12-01
November 2014,2014-11-01
October 2014,2014-10-01
September 2014,2014-09-01
August 2014,2014-08-01
July 2014,2014-07-01
June 2014,2014-06-01
May 2014,2014-05-01
April 2014,2014-04-01
March 2014,2014-03-01
February 2014,2014-02-01
January 2014,2014-01-01
December 2013,2013-12-01
November 2013,2013-11-01
October 2013,2013-10-01
September 2013,2013-09-01
August 2013,2013-08-01
July 2013,2013-07-01
June 2013,2013-06-01
May 2013,2013-05-01
April 2013,2013-04-01
March 2013,2013-03-01
February 2013,2013-02-01
January 2013,2013-01-01
